Accession,Source Type,Source Date,Geography,Is Origin?,Elevation (meters),Latitude,Longitude,Uncertainty,Taxon
PI 526913,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526914,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526915,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526916,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526917,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526918,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526919,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526920,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526921,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526922,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526923,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526924,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526925,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526926,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526927,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526928,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526929,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526930,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526931,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526932,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526933,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526934,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526936,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526937,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.08333333,31.66666667,2000,Sorghum bicolor subsp. bicolor
PI 526938,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526940,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526941,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526942,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526944,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526945,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526946,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526948,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526949,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526950,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526952,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526953,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526954,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526956,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526957,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526958,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526959,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526960,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526961,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526962,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526963,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526964,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526965,Collection source event,5/2/1985,Zimbabwe,Y,1500,-18.38333333,26.41666667,2000,Sorghum bicolor subsp. bicolor
