,stdMinorAxisLength,sample,stdMajorAxisLength,majorAxisLength,averageArea,totalCount,stdArea,minorAxisLength
698,4.276974919,SAP361,3.154661916,47.65252973,1545.880952,69,234.3417531,41.7381294
699,4.206982133,SAP362,4.42289195,45.00500803,1411.060606,77,265.6380471,40.0241905
700,2.41043199,SAP363,2.434033793,49.48793357,1663.758621,64,145.8224369,43.25990972
701,2.454586428,SAP363,2.39482539,49.58971381,1669.103448,66,146.4264779,43.31957093
702,2.518591127,SAP364,2.859351053,51.60984297,1560.758621,48,159.3858158,38.94138787
703,2.539346753,SAP364,2.878651675,51.49639846,1556.896552,49,158.9969301,38.92507768
704,3.551792936,SAP365,3.312432602,48.33869527,1563.666667,60,192.7072622,42.21810819
705,3.526695245,SAP365,3.306304628,48.37438797,1568.0,59,191.4533886,42.33004071
706,4.189822549,SAP366,3.841803673,48.73322406,1564.0,69,223.5173371,42.20736767
707,4.23153741,SAP366,4.026363371,48.50523731,1559.09375,69,233.0148009,42.24629775
708,3.917135508,SAP367,4.085452508,50.60940661,1444.473684,58,210.7196612,36.85073794
709,3.860684618,SAP367,4.108891512,50.57510176,1440.307692,59,208.4438255,36.79956981
710,4.197063433,SAP368,3.882278889,50.90335483,1689.729167,62,294.9853626,43.26146961
711,4.192764006,SAP368,3.888837169,50.80225114,1684.895833,62,295.0486711,43.25793817
712,4.68493222,SAP369,5.263242166,55.87470395,2056.12,43,377.0208822,47.88850977
713,3.940094504,SAP370,3.187778192,54.55062889,2010.641509,73,273.4071602,48.33583644
714,3.806382801,SAP370,3.187391128,54.68214024,2013.528302,73,262.6213002,48.32650149
715,2.258986501,SAP371,2.179267911,47.03559318,1559.117647,56,130.0951608,42.60457997
716,2.264700861,SAP371,2.133947003,46.81980922,1551.2,56,136.1517291,42.59260744
717,2.952725463,SAP372,3.241331369,54.32081322,1912.433333,49,203.4629669,45.28021545
718,2.908345519,SAP372,3.251638094,53.98423405,1897.78125,49,199.2730122,45.24761931
719,2.870194434,SAP373,4.680403287,54.83659673,1903.292683,65,235.7610659,44.9301219
720,2.724843966,SAP373,4.143112697,54.56467828,1904.976744,66,231.6738373,44.9852142
721,2.926690981,SAP374,2.809176948,43.87031271,1351.928571,71,177.1729573,39.63126424
722,2.902001236,SAP374,2.817073347,43.92087756,1355.333333,71,175.9033375,39.66654362
723,3.063508483,SAP375,2.592634823,51.47976318,1719.851852,53,203.3524042,43.83255553
724,3.089543402,SAP375,2.609037473,51.39100768,1714.62963,53,202.8159443,43.74750595
725,3.708581153,SAP376,3.017065867,40.61795492,1110.511111,72,183.4477973,35.33470768
726,3.711561249,SAP376,3.041047616,40.68533744,1112.866667,72,184.1173056,35.35788618
727,4.620770969,SAP377,5.030285418,50.53863057,1592.15,64,288.2625149,40.69251463
728,4.614273296,SAP377,4.974325176,50.44161127,1586.868421,65,285.0504268,40.6150821
729,3.232344563,SAP379,3.021526022,39.78159851,1011.295455,73,167.3720107,32.84440265
730,3.24537689,SAP379,3.024308671,39.87215064,1015.409091,75,166.3716156,32.95155785
731,3.136081191,SAP380,3.657826752,54.19301063,1751.59375,43,210.6574321,42.43762231
732,3.195141426,SAP380,3.7999694,54.10214089,1743.7,43,213.3899638,42.37734574
733,3.110986299,SAP381,3.149876196,52.61558536,1894.638889,54,205.1762322,46.56081467
734,3.132139785,SAP381,3.095991445,52.66994714,1896.083333,54,202.8474214,46.576639
735,3.149675707,SAP382,3.166397345,45.41540039,1397.580645,53,189.9975847,39.34016642
736,3.118036193,SAP382,3.104725281,45.41014014,1403.354839,54,188.6147376,39.4795359
