,b,r,sample,g,closest color
299,85.72195611,149.779248,BAP179,102.769368,light brown
300,81.89395232,144.8336778,BAP179,97.68198223,light brown
301,88.42100601,151.4245357,BAP180,102.1729592,light brown
302,90.43735047,154.3757387,BAP180,107.218271,light brown
303,85.48611263,134.1567908,BAP181,95.767481,red
304,94.00219382,145.7111588,BAP182,107.7166303,light brown
305,91.85592135,143.59496,BAP182,103.7377353,light brown
306,73.70578549,64.6908773,BAP184,65.17101428,dark brown
307,97.38790069,144.1550642,BAP184,107.8749522,light brown
308,68.43703474,115.8206232,BAP186,75.05932127,dark brown
