,sample,r,g,b,closest color
483,SAP250,159.1389399,99.23945427,89.68702069,light brown
484,SAP251,186.0369197,155.7199977,138.1784169,pearl
485,SAP251,185.7734037,155.4295809,137.9571355,pearl
486,SAP252,196.3456273,167.4251512,149.0055801,white
487,SAP252,196.8851032,167.9404248,149.530877,white
488,SAP253,173.4321445,137.7453655,120.9749109,cream
489,SAP253,173.3399357,137.7846301,121.0075564,cream
490,SAP254,124.2959445,72.29573631,65.07127724,dark brown
491,SAP254,123.9184004,71.57914155,64.17734545,dark brown
492,SAP255,159.578313,128.9842339,117.9132527,yellow
493,SAP255,159.2581122,128.5870093,117.4745824,yellow
494,SAP256,140.4224024,86.219522,71.7295249,red
495,SAP256,141.2444419,87.17102036,72.85608648,red
496,SAP257,173.7187907,137.0108854,119.3518273,cream
497,SAP257,173.7268927,136.9558935,119.1430397,cream
498,SAP258,125.1195045,73.00502905,67.44871172,dark brown
499,SAP258,125.6988313,73.72207379,68.28362038,dark brown
500,SAP259,130.2994373,71.44475952,64.80657813,dark brown
501,SAP259,130.6792275,72.00885437,65.43699424,dark brown
502,SAP260,153.1085886,123.1375625,114.5838354,yellow
503,SAP260,153.4930693,123.5717045,115.1416357,yellow
504,SAP261,176.6647541,144.7195325,131.3648259,chalky white
505,SAP261,176.0896049,144.0611313,130.7486334,cream
506,SAP262,165.8451844,131.3978705,119.1907704,cream
507,SAP262,166.0412912,131.7649457,119.6264307,cream
508,SAP262,165.6839039,110.9652116,98.94895226,yellow
509,SAP263,191.3807339,166.3433299,155.049811,white
510,SAP263,191.0930485,166.0093818,154.7112641,white
511,SAP265,133.4014655,79.83904928,71.97686214,dark brown
512,SAP265,133.1074039,79.17593046,71.07462674,dark brown
513,SAP266,155.4485777,100.3226537,85.09015601,light brown
514,SAP266,155.6207711,100.6910716,85.62523507,light brown
515,SAP267,177.3783409,144.5472117,125.4309763,cream
516,SAP267,177.0807678,144.1432724,124.882759,cream
517,SAP268,139.135395,70.14457667,64.63645809,dark brown
518,SAP268,139.4952651,70.97405208,65.648379,dark brown
519,SAP269,157.9309348,125.6627991,112.1422306,yellow
520,SAP269,158.2098779,125.970634,112.6510031,yellow
521,SAP270,161.6749489,119.8646562,100.1561305,yellow
522,SAP270,162.2962752,120.8228003,101.2956407,yellow
523,SAP271,125.5105513,77.34808398,65.79167742,dark brown
524,SAP271,124.2211775,76.06798807,64.76637422,dark brown
525,SAP272,130.1113499,71.63327326,60.76595758,dark brown
526,SAP272,129.9271316,71.50434178,60.37999162,dark brown
527,SAP273,129.9449773,79.19986949,69.62563477,dark brown
