,stdArea,totalCount,majorAxisLength,sample,averageArea,stdMinorAxisLength,minorAxisLength,stdMajorAxisLength
92,180.9846897,54,45.91255041,BAP047,1424.520833,3.05752665,40.67664003,2.859102111
93,199.7965055,47,51.81244295,BAP048,1598.232558,3.295710908,39.56374491,3.412228608
94,197.4893658,49,51.84520482,BAP048,1595.636364,3.229145297,39.48364194,3.442929956
95,184.366518,57,49.44861319,BAP049,1707.211538,2.95585465,44.57809844,2.783342692
96,179.2198887,59,49.53062447,BAP049,1714.5,2.774527448,44.74624325,2.569512875
97,127.2083079,87,35.68458363,BAP071,700.4390244,2.476556362,25.69405673,4.819201152
98,124.977519,84,36.03120731,BAP071,707.08,2.499287005,25.81537167,4.326482416
99,168.3831727,62,44.33387733,BAP072,1310.0,3.105813746,38.49393331,2.274378805
100,167.3650244,63,44.22558128,BAP072,1306.035088,3.10327931,38.46283642,2.254913818
101,232.4699963,43,47.79042814,BAP073,1587.736842,3.546955108,42.45556966,3.433282238
102,232.2023681,43,47.86192778,BAP073,1591.815789,3.55536959,42.50498277,3.449051822
103,197.3508568,55,42.34433897,BAP074,1215.8125,3.299444907,37.19502915,3.619284763
104,212.4911072,55,42.07886021,BAP074,1206.244898,3.525263627,37.05936485,4.045008945
105,213.4347224,48,55.32282712,BAP075,2136.097561,3.04706956,49.92878674,2.820332257
106,211.4342449,46,55.18535865,BAP075,2129.190476,3.043850458,49.91021476,2.770684458
107,129.7540267,67,40.15098765,BAP076,853.0153846,2.882786622,27.92842075,4.185428199
108,125.7413571,64,39.9058707,BAP076,848.0,2.629258685,27.70352237,3.792752508
109,110.9209323,62,41.69239007,BAP077,969.9636364,2.160880964,30.99471793,4.290474954
110,110.4130138,63,41.28746049,BAP077,967.0169492,2.039714032,31.07557893,4.074190096
111,180.4561786,30,44.74883222,BAP078,1215.321429,3.929490812,36.02350107,4.168285947
112,183.1769704,29,44.95470557,BAP078,1213.888889,3.969304513,35.98958378,4.011728485
113,345.8099634,38,48.78396509,BAP079,1633.787879,5.08303919,43.18984484,4.134006343
114,318.8214795,38,51.6469407,BAP079,1767.444444,4.032354771,44.45118196,3.874681313
115,250.0544389,36,45.14048103,BAP080,1274.76,3.829595141,36.82013717,5.516125118
116,235.4933083,35,44.48978825,BAP080,1262.151515,3.643440213,37.37849304,5.409589568
117,446.6101514,46,54.68939848,BAP081,2125.023256,5.148375309,49.98911097,5.566951824
118,448.670336,47,54.25786898,BAP081,2087.195652,5.23872735,49.50401837,5.591471362
119,139.2101374,80,42.70615983,BAP082,1148.6125,2.393478159,35.26007755,3.791620475
120,142.2808969,75,42.94388624,BAP082,1152.191781,2.422328069,35.20884066,3.876440764
121,153.195445,43,50.7912046,BAP083,1749.175,2.730986992,44.94026073,2.402933343
122,154.9881377,43,50.76339463,BAP083,1742.102564,2.726366833,44.8155819,2.468945992
123,263.0258669,47,50.67440501,BAP084,1815.842105,3.382660251,46.20927211,3.658241164
124,266.0762994,50,50.87736796,BAP084,1827.767442,3.606929273,46.3746792,3.651006902
125,220.016344,46,55.55759687,BAP085,2112.886364,3.00745176,49.11422631,2.908244672
126,221.6163062,46,55.58345304,BAP085,2115.409091,2.997537027,49.13416052,2.962627552
127,300.2176803,53,48.25345989,BAP086,1542.55102,3.921948456,40.91953537,5.215005463
128,301.9539057,51,48.06029659,BAP086,1537.456522,4.033715465,40.97672832,5.198076536
129,173.8568304,51,44.16456216,BAP087,1171.395833,3.577327497,35.2708454,4.268662894
130,171.4273466,50,45.45623728,BAP087,1169.242424,3.396860722,34.44778222,4.36815165
131,330.380651,33,52.68775898,BAP088,1943.068966,4.165391393,48.45951512,4.366670767
132,334.4957216,33,52.70291103,BAP088,1938.571429,4.278995306,48.37545622,4.366450989
133,286.9831219,47,51.47617504,BAP089,1871.264706,3.891902575,46.72891076,3.830794179
134,285.8691878,46,51.29479054,BAP089,1892.967742,3.771624199,47.37908244,3.763611248
135,309.3817681,27,55.4313009,BAP090,2050.807692,3.553936621,47.30395187,4.559505889
136,308.5132702,27,55.38630337,BAP090,2046.153846,3.578830534,47.23856284,4.522191453
137,198.5748987,26,48.94572651,BAP091,1640.64,2.703466225,43.18004729,2.964524403
138,192.4874856,28,48.94853478,BAP091,1645.222222,2.692026799,43.27610318,2.877556094
139,173.3344501,58,47.9349059,BAP092,1585.208333,3.031271818,43.07702191,2.291860048
140,163.8847497,59,47.93298643,BAP092,1600.019231,2.805076748,43.5224995,2.198677138
141,174.8246498,45,44.32715852,BAP093,1200.642857,3.145892883,36.11426778,4.547253756
142,171.3146722,48,43.92557533,BAP093,1195.978261,3.054033806,36.01695815,4.034635462
143,196.1808776,46,47.0493359,BAP094,1520.604651,3.517031796,41.9430306,2.771281414
144,201.6151036,43,47.17372227,BAP094,1528.0,3.565206227,42.00531806,2.863252649
145,62.99776007,74,30.53405685,BAP095,448.53125,2.466975635,19.83209885,3.10867286
146,64.18023245,70,30.41973956,BAP095,449.7258065,2.106888389,19.73432484,2.989162123
147,124.3997553,64,42.60555135,BAP098,946.5081967,2.080891859,28.695824,3.955594734
148,126.2439977,61,42.94029392,BAP098,957.0689655,2.144217392,28.79033099,3.82751899
149,165.9887358,63,45.24412965,BAP099,1322.655172,2.700102864,39.49375124,3.090591528
150,168.8809205,61,45.23160768,BAP099,1314.857143,2.717886701,39.2505319,3.034766013
151,248.1179575,40,55.2397945,BAP100,2072.583333,3.791067401,48.25972947,3.525202619
152,228.391615,40,54.98470072,BAP100,2089.685714,3.152036229,48.81517888,3.549706976
153,161.8337706,50,45.7332113,BAP101,1412.148936,2.755453603,39.61247128,2.869412474
154,171.7185418,49,45.88489588,BAP101,1423.617021,2.939930327,39.77338817,2.938392558
155,281.0471491,36,53.15415048,BAP102,1922.25,4.120328679,46.58598572,3.589899029
156,237.9359368,35,53.22120124,BAP102,1864.3,3.3547066,45.081699,3.289412692
157,357.8940955,36,54.7709965,BAP103,2045.4375,5.20844258,48.03362348,4.59435131
158,357.1908628,36,54.86791534,BAP103,2051.0,5.164224546,48.07394123,4.645053464
159,300.0039611,34,51.20134785,BAP104,1822.548387,4.706587318,45.8171461,3.718743018
160,300.286367,34,51.41057056,BAP104,1830.032258,4.711850585,45.93319745,3.959151997
161,347.3424903,27,53.78880766,BAP105,1979.166667,4.578543093,47.42877019,4.695933243
162,346.6422242,27,53.66134064,BAP105,1973.541667,4.606264795,47.42560777,4.657544963
163,138.1884879,62,40.60883993,BAP106,1090.4,2.59916107,35.04966201,3.252002702
164,134.5103085,63,40.46122066,BAP106,1094.684211,2.622394245,35.15277,2.846800026
165,130.6499537,61,42.346685,BAP107,1137.017857,2.895802666,34.71935893,2.514686617
166,133.5021294,59,42.19923053,BAP107,1134.303571,2.922555193,34.71681992,2.634791342
167,225.1621592,32,54.03437589,BAP108,1939.258065,3.294173284,46.40089325,3.203238844
168,224.6246401,32,53.98800171,BAP108,1934.354839,3.302876679,46.32440154,3.195552455
169,64.0094403,44,38.43280019,BAP109,242.6060606,3.932790042,19.22027647,8.522517737
170,64.7847394,54,33.64353375,BAP109,232.2564103,3.397103784,18.31706938,8.776945238
171,200.3655745,52,43.18621954,BAP110,1082.906977,3.771360967,32.94748648,4.13515825
